Timestamp,Channel_0_mV,Channel_1_mV
2025-08-10 18:48:17.488498,3.1430604457855225,196.8323211669922
2025-08-10 18:48:17.488998,12.600802421569824,199.95433044433594
2025-08-10 18:48:17.489498,287.8959655761719,226.9278106689453
2025-08-10 18:48:17.489998,297.4160461425781,225.87310791015625
2025-08-10 18:48:17.490498,217.92068481445312,223.41346740722656
2025-08-10 18:48:17.490998,12.16230297088623,222.37693786621094
2025-08-10 18:48:17.491498,25.07063102722168,223.18267822265625
2025-08-10 18:48:17.491998,46.9932975769043,224.21200561523438
2025-08-10 18:48:17.508551,54.90677261352539,225.62472534179688
2025-08-10 18:48:17.509051,71.36204528808594,226.40017700195312
2025-08-10 18:48:17.509551,100.45706176757812,226.314208984375
2025-08-10 18:48:17.510051,138.5110321044922,225.33709716796875
2025-08-10 18:48:17.510551,180.60899353027344,223.8580322265625
2025-08-10 18:48:17.511051,192.6827392578125,222.42742919921875
2025-08-10 18:48:17.511551,168.9567413330078,221.5919647216797
2025-08-10 18:48:17.512051,139.4930419921875,221.8547821044922
2025-08-10 18:48:17.528587,115.33604431152344,222.10086059570312
2025-08-10 18:48:17.529087,112.56224060058594,222.85179138183594
2025-08-10 18:48:17.529587,129.79815673828125,223.57907104492188
2025-08-10 18:48:17.530087,164.3011474609375,223.0817108154297
2025-08-10 18:48:17.530587,210.32598876953125,222.10546875
2025-08-10 18:48:17.531087,229.44024658203125,220.7720947265625
2025-08-10 18:48:17.531587,203.51943969726562,220.3226318359375
2025-08-10 18:48:17.532087,183.65599060058594,220.68035888671875
2025-08-10 18:48:17.548479,173.1536407470703,221.55389404296875
2025-08-10 18:48:17.548979,163.41058349609375,222.7987060546875
2025-08-10 18:48:17.549479,171.873046875,223.62840270996094
2025-08-10 18:48:17.549979,200.28550720214844,223.4368438720703
2025-08-10 18:48:17.550479,241.47503662109375,222.5021514892578
2025-08-10 18:48:17.550979,255.99658203125,221.0614471435547
2025-08-10 18:48:17.551479,224.88995361328125,220.21878051757812
2025-08-10 18:48:17.551979,199.25791931152344,220.74237060546875
2025-08-10 18:48:17.568397,190.88690185546875,221.71456909179688
2025-08-10 18:48:17.568897,194.0931396484375,222.6022491455078
2025-08-10 18:48:17.569397,198.6875762939453,223.99822998046875
2025-08-10 18:48:17.569897,219.6582489013672,224.5841522216797
2025-08-10 18:48:17.570397,256.7645263671875,223.84274291992188
2025-08-10 18:48:17.570897,273.38653564453125,222.7372589111328
2025-08-10 18:48:17.571397,242.61744689941406,221.6681365966797
2025-08-10 18:48:17.571897,211.63284301757812,221.69351196289062
2025-08-10 18:48:17.588503,197.21774291992188,222.44012451171875
2025-08-10 18:48:17.589003,201.8087158203125,223.63070678710938
2025-08-10 18:48:17.589503,212.36761474609375,224.68310546875
2025-08-10 18:48:17.590003,228.41323852539062,225.1241912841797
2025-08-10 18:48:17.590503,261.0560607910156,224.96495056152344
2025-08-10 18:48:17.591003,283.7835998535156,223.61570739746094
2025-08-10 18:48:17.591503,258.5903625488281,221.98143005371094
2025-08-10 18:48:17.592003,223.69561767578125,222.0056610107422
2025-08-10 18:48:17.608313,203.28317260742188,222.8976593017578
2025-08-10 18:48:17.608813,202.20596313476562,223.8614959716797
2025-08-10 18:48:17.609313,218.68460083007812,224.88157653808594
2025-08-10 18:48:17.609813,232.71946716308594,225.5601043701172
2025-08-10 18:48:17.610313,259.9188537597656,225.5410614013672
2025-08-10 18:48:17.610813,288.23870849609375,224.56106567382812
2025-08-10 18:48:17.611313,273.1240234375,223.33990478515625
2025-08-10 18:48:17.611813,236.3001708984375,222.55262756347656
2025-08-10 18:48:17.628811,210.2154998779297,222.68215942382812
2025-08-10 18:48:17.629311,202.07846069335938,223.6973419189453
2025-08-10 18:48:17.629811,214.66165161132812,224.8466796875
2025-08-10 18:48:17.630311,232.11163330078125,226.34881591796875
2025-08-10 18:48:17.630811,255.1616973876953,226.4818115234375
2025-08-10 18:48:17.631311,286.677978515625,225.6506805419922
2025-08-10 18:48:17.631811,284.7156982421875,224.24835205078125
2025-08-10 18:48:17.632311,249.18138122558594,222.9749755859375
2025-08-10 18:48:17.649345,218.2582244873047,223.2100830078125
2025-08-10 18:48:17.649845,203.78427124023438,223.6941680908203
2025-08-10 18:48:17.650345,210.5775604248047,224.58819580078125
2025-08-10 18:48:17.650845,232.9104461669922,226.06466674804688
2025-08-10 18:48:17.651345,252.47128295898438,227.0443572998047
2025-08-10 18:48:17.651845,282.4510803222656,226.56922912597656
2025-08-10 18:48:17.652345,292.84783935546875,225.000732421875
2025-08-10 18:48:17.652845,262.4710998535156,223.55799865722656
2025-08-10 18:48:17.654388,227.5223846435547,223.16912841796875
2025-08-10 18:48:17.654888,207.23428344726562,223.25653076171875
2025-08-10 18:48:17.655388,206.60653686523438,224.4332733154297
2025-08-10 18:48:17.655888,226.49595642089844,225.85752868652344
2025-08-10 18:48:17.656388,247.966552734375,226.76856994628906
2025-08-10 18:48:17.656888,275.8265686035156,227.0593719482422
2025-08-10 18:48:17.657388,296.5802917480469,225.88233947753906
2025-08-10 18:48:17.657888,275.0782470703125,224.33547973632812
2025-08-10 18:48:17.668343,238.0238800048828,223.51963806152344
2025-08-10 18:48:17.668843,212.41954040527344,223.70945739746094
2025-08-10 18:48:17.669343,204.86033630371094,224.5584716796875
2025-08-10 18:48:17.669843,219.18772888183594,225.53990173339844
2025-08-10 18:48:17.670343,242.6416778564453,226.40652465820312
2025-08-10 18:48:17.670843,267.42816162109375,226.7665557861328
2025-08-10 18:48:17.671343,294.8257141113281,225.83819580078125
