Timestamp,EMG1,EMG2
2025-08-17 20:14:06.933615,0.0,0.0
2025-08-17 20:14:06.934615,0.0,0.0
2025-08-17 20:14:06.935615,0.0,0.0
2025-08-17 20:14:06.936615,0.0,0.0
2025-08-17 20:14:06.937615,0.0,0.0
2025-08-17 20:14:06.938615,0.0,0.0
2025-08-17 20:14:06.939615,0.0,0.0
2025-08-17 20:14:06.940615,0.0,0.0
2025-08-17 20:14:06.941615,0.0,0.0
2025-08-17 20:14:06.942615,0.0,0.0
2025-08-17 20:14:06.943615,0.0,0.0
2025-08-17 20:14:06.944615,0.0,0.0
2025-08-17 20:14:06.945615,0.0,0.0
2025-08-17 20:14:06.946615,0.0,0.0
2025-08-17 20:14:06.947615,0.0,0.0
2025-08-17 20:14:06.948615,0.0,0.0
2025-08-17 20:14:06.949615,0.0,0.0
2025-08-17 20:14:06.950615,0.0,0.0
2025-08-17 20:14:06.951615,0.0,0.0
2025-08-17 20:14:06.952615,0.0,0.0
2025-08-17 20:14:06.953615,0.0,0.0
2025-08-17 20:14:06.954615,0.0,0.0
2025-08-17 20:14:06.955615,0.0,0.0
2025-08-17 20:14:06.956615,0.0,0.0
2025-08-17 20:14:06.957615,0.0,0.0
2025-08-17 20:14:06.958615,0.0,0.0
2025-08-17 20:14:06.959615,0.0,0.0
2025-08-17 20:14:06.960615,0.0,0.0
2025-08-17 20:14:06.961615,0.0,0.0
2025-08-17 20:14:06.962615,0.0,0.0
2025-08-17 20:14:06.963615,0.0,0.0
2025-08-17 20:14:06.964615,0.0,0.0
2025-08-17 20:14:06.965615,0.0,0.0
2025-08-17 20:14:06.966615,0.0,0.0
2025-08-17 20:14:06.967615,0.0,0.0
2025-08-17 20:14:06.968615,0.0,0.0
2025-08-17 20:14:06.969615,0.0,0.0
2025-08-17 20:14:06.970615,0.0,0.0
2025-08-17 20:14:06.971615,0.0,0.0
2025-08-17 20:14:06.972615,0.0,0.0
2025-08-17 20:14:06.973615,0.0,0.0
2025-08-17 20:14:06.974615,0.0,0.0
2025-08-17 20:14:06.975615,0.0,0.0
